Well,Test number,Top depth,Base depth,Choke size [mm],Final shut-in pressure [MPa],Final flow pressure [MPa],Bottom hole pressure [MPa],Oil [Sm3/day],Gas [Sm3/day],Oil density [g/cm3],Gas grav. rel.air,GOR [m3/m3],Downhole temperature [Â°C]
2/5-1,1.0,3042.0,3101.0,0.0,0.0,0.0,46.0,209,223212,0.0,0.0,1068,121
2/5-1,2.0,3274.0,3277.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-1,4.0,3244.0,3248.0,0.0,0.0,0.0,0.0,425,612000,0.0,0.0,1440,0
2/5-1,5.0,3285.0,3234.0,0.0,0.0,0.0,0.0,145,0,0.0,0.0,0,0
2/5-1,6.0,3225.0,3234.0,0.0,0.0,0.0,0.0,445,0,0.0,0.0,0,0
2/5-1,7.0,3154.0,3191.0,0.0,48.0,0.0,48.0,159,203838,0.0,0.0,1282,0
2/5-1,8.0,3043.0,3056.0,0.0,0.0,0.0,0.0,230,65000,0.0,0.0,0,0
2/5-11,1.0,3381.0,3363.0,19.0,46.24,0.0,0.0,4,0,0.829,0.0,0,131
2/5-11,2.0,3329.0,3289.0,18.1,47.2,0.0,0.0,12,0,0.8,0.0,120,129
2/5-2,1.0,3511.0,3514.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-2,2.0,3350.0,3361.0,0.0,0.0,0.0,0.0,165,39643,0.0,0.0,0,0
2/5-2,3.0,3300.0,3315.0,0.0,0.0,0.0,0.0,377,96276,0.0,0.0,0,0
2/5-2,4.0,3166.0,3183.0,0.0,0.0,0.0,0.0,362,0,0.0,0.0,0,0
2/5-2,5.0,3166.0,3183.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-2,6.0,3150.0,3188.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-3,1.0,3386.0,3395.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-3,2.0,3121.0,3191.0,15.9,0.0,0.0,0.0,682,340400,0.844,0.0,464,0
2/5-3,3.0,3053.0,3065.0,12.5,0.0,0.0,0.0,682,141330,0.83,0.0,179,0
2/5-4,1.0,3137.0,3170.0,12.0,0.0,0.0,0.0,556,30500,0.8,0.0,53,0
2/5-4,2.0,3070.0,3081.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-4,3.0,3051.0,3065.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-5,1.0,3425.0,3434.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/5-5,3.0,3297.0,3313.0,25.4,0.0,0.0,0.0,72,12430,0.829,0.0,171,0
2/5-7,1.0,3300.0,3335.0,7.9,5.0,0.0,35.0,120,46350,0.82,0.83,27,0
2/5-7,2.0,3263.0,3287.0,14.3,14.0,0.0,29.0,121,32670,0.82,0.96,48,0
2/5-7,3.0,3210.0,3225.0,0.0,0.0,0.0,32.0,8,0,0.0,0.0,0,0
2/6-5,1.0,2955.0,2919.0,11.1,44.0,30.0,0.0,8,0,0.831,0.0,0,117
2/7-1,1.0,2942.0,2975.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-10,1.0,3313.0,3322.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-10,3.0,3289.0,3301.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-10,5.0,3245.0,3261.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-10,6.0,3219.0,3237.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-10,7.0,3203.0,3210.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-12,1.0,417.0,426.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-13,1.0,3188.0,3205.0,38.1,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-13,2.0,3042.0,3084.0,38.1,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-13,3.0,2794.0,2807.0,38.1,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-13,4.0,2697.0,2729.0,38.1,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-14,1.0,3321.0,3324.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-14,2.0,3236.0,3254.0,0.0,0.0,14.0,0.0,227,31000,0.874,0.82,139,0
2/7-14,3.0,3200.0,3210.0,0.0,0.0,0.0,0.0,0,59000,0.0,0.0,0,0
2/7-14,4.0,3164.0,3186.0,0.0,0.0,0.0,0.0,553,86000,0.852,0.682,239,0
2/7-14,5.0,3125.0,3143.0,0.0,0.0,0.0,0.0,76,14000,0.861,0.697,190,0
2/7-15,1.0,3425.0,3462.0,25.4,66.0,30.0,0.0,0,0,0.0,0.0,0,0
2/7-15,2.0,3006.0,3010.0,14.3,46.0,30.0,0.0,7,0,0.0,0.0,0,0
2/7-15,3.0,2988.0,3010.0,13.4,44.0,30.0,0.0,13,0,0.0,0.0,0,0
2/7-16,1.0,3254.0,3263.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-16,2.0,3168.0,3190.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-19 R,1.0,4711.0,4838.0,12.0,0.0,2.7,0.0,35,15631,0.0,0.0,449,169
2/7-2,1.0,3006.0,3018.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-20,1.0,4099.0,4258.0,9.5,0.0,0.0,0.0,566,223000,0.0,0.0,365,0
2/7-21 S,1.0,4575.0,4610.0,7.9,0.0,0.0,0.0,107,27000,0.8,0.79,267,160
2/7-21 S,2.1,4446.4,4518.7,11.9,0.0,0.0,0.0,879,272000,0.81,0.79,312,153
2/7-21 S,2.2,4446.4,4518.7,9.9,0.0,0.0,0.0,592,211000,0.81,0.79,357,0
2/7-21 S,3.1,4308.0,4337.6,11.1,0.0,0.0,0.0,760,249000,0.81,0.81,326,153
2/7-21 S,3.2,4308.0,4337.6,19.0,0.0,0.0,0.0,1236,447000,0.8,0.76,362,153
2/7-22,1.0,4484.0,4491.0,12.7,0.0,24.0,0.0,197,232700,0.79,0.8,1181,163
2/7-26 S,1.0,4605.5,4696.9,6.3,0.0,0.0,0.0,53,10123,0.819,0.0,191,133
2/7-26 S,2.0,4309.8,4538.4,6.3,0.0,0.0,0.0,223,61447,0.819,0.81,279,0
2/7-27 S,1.0,4740.9,4483.6,7.9,0.0,0.0,0.0,582,180400,0.8,0.8,309,0
2/7-3,1.0,2908.0,2938.0,0.0,0.0,0.0,0.0,123,31148,0.0,0.0,0,0
2/7-3,2.0,2908.0,2938.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-3,3.0,2883.0,2896.0,0.0,0.0,0.0,0.0,667,133089,0.0,0.0,0,0
2/7-3,4.0,2868.0,2877.0,0.0,0.0,0.0,0.0,792,167069,0.0,0.0,0,0
2/7-3,5.0,2806.0,2856.0,0.0,0.0,0.0,0.0,712,172732,0.0,0.0,0,0
2/7-31,1.0,4623.2,4565.3,6.3,0.0,0.0,0.0,282,120360,0.0,0.702,426,163
2/7-4,1.0,3266.0,3292.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-4,2.0,3197.0,3220.0,0.0,0.0,0.0,0.0,1054,27183,0.0,0.0,0,0
2/7-4,3.0,3149.0,3170.0,0.0,0.0,0.0,0.0,200,7079,0.0,0.0,0,0
2/7-4,4.0,3127.0,3145.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-4,5.0,3106.0,3114.0,0.0,0.0,0.0,0.0,7,736,0.0,0.0,0,0
2/7-4,6.0,3106.0,3114.0,0.0,0.0,0.0,0.0,8,1444,0.0,0.0,0,0
2/7-5,1.0,3274.0,3293.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-5,2.0,3225.0,3237.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-5,3.0,3210.0,3219.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-5,4.0,3160.0,3185.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-5,5.0,3120.0,3230.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-6,1.0,2973.0,2987.0,0.0,0.0,0.0,0.0,44,13393,0.857,0.0,0,0
2/7-6,2.0,3069.0,3078.0,0.0,0.0,0.0,0.0,167,57200,0.863,0.0,0,0
2/7-6,3.0,2993.0,3054.0,0.0,0.0,0.0,0.0,738,189156,0.855,0.0,0,0
2/7-6,4.0,2914.0,2957.0,0.0,0.0,0.0,0.0,805,274673,0.843,0.0,0,0
2/7-7,1.0,2911.0,2925.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-7,3.0,2838.0,2905.0,38.0,0.0,0.0,0.0,976,415691,0.0,0.0,426,0
2/7-7,5.0,2827.0,2833.0,38.0,0.0,0.0,0.0,1045,518193,0.0,0.0,496,0
2/7-7,6.0,2789.0,2822.0,38.0,0.0,0.0,0.0,1179,526693,0.0,0.0,447,0
2/7-8,1.0,3039.0,3051.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-8,2.0,3039.0,3051.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-8,3.0,3014.0,3033.0,0.0,40.0,27.0,0.0,13,2406,0.97,0.0,0,0
2/7-8,4.0,2969.0,3001.0,0.0,40.0,37.0,0.0,539,53789,0.86,0.0,0,0
2/7-9,1.0,4313.0,4356.0,0.0,38.4,0.0,0.0,36,9996,0.8,0.0,278,0
2/7-9,2.0,3417.0,3436.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/7-9,3.0,3098.0,3109.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/8-10,1.0,2536.0,2547.0,3.2,0.0,0.0,0.0,49,6760,0.84,0.674,775,0
2/8-10,2.0,2493.0,2509.0,9.5,0.0,0.0,0.0,552,78155,0.84,0.653,793,0
2/8-10,3.0,2480.0,2486.0,15.9,0.0,0.0,0.0,1017,165937,0.84,0.66,910,0
2/8-11,1.0,2553.0,2560.0,12.5,0.0,0.0,0.0,378,10477,0.83,0.0,1550,0
2/8-11,2.0,2469.0,2476.0,19.0,0.0,0.0,0.0,842,21521,0.84,0.0,0,0
2/8-3,1.0,3571.0,3589.0,0.0,30.0,25.0,0.0,4,278,0.0,0.0,0,0
2/8-3,2.0,3600.0,3571.0,0.0,28.0,24.0,0.0,32,2019,0.0,0.0,0,0
2/8-3,3.0,2871.0,2882.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/8-4,1.0,2603.0,2622.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/8-4,2.0,2579.0,2588.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/8-6,1.0,2570.0,2582.0,25.4,44.9,26.9,0.0,94,19283,0.85,0.0,1152,0
2/8-6,2.0,2526.0,2553.0,19.0,41.5,11.7,0.0,262,40691,0.84,0.0,872,0
2/8-6,3.0,2502.0,2514.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/8-6,4.0,2478.0,2489.0,12.5,44.6,15.8,0.0,136,30270,0.83,0.0,0,0
2/8-6,5.0,2466.0,2488.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/8-8,1.0,2585.0,2595.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/8-8,2.0,2556.0,2568.0,19.0,43.0,32.0,0.0,455,0,0.0,0.0,690,0
2/8-8,3.0,2507.0,2515.0,0.0,44.6,23.3,0.0,179,0,0.83,0.0,780,0
2/8-8,4.0,2488.0,2493.0,12.5,0.0,0.0,0.0,745,0,0.0,0.0,1225,0
2/8-8,5.0,2460.0,2465.0,25.4,44.0,36.0,0.0,1222,0,0.85,0.0,1118,0
2/8-9,1.0,2552.0,2558.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
2/8-9,2.0,2525.0,2529.0,0.0,45.2,20.4,0.0,353,81693,0.84,0.0,231,0
24/6-1,1.0,4502.0,4537.0,7.9,0.0,0.0,0.0,75,425000,0.785,0.64,5690,0
24/6-2,1.0,2165.75,2156.75,19.0,4.8,0.0,18.68,550,44000,0.86,0.69,80,69
24/9-3,1.0,1805.0,1796.0,0.0,0.0,0.0,0.0,39,1000,0.916,0.65,26,0
24/9-3,2.0,1782.0,1775.0,50.8,0.0,0.0,0.0,86,2400,0.925,0.63,28,0
24/9-3,3.0,1747.0,1739.0,0.0,0.0,0.0,0.0,0,1000,0.0,0.562,0,0
25/10-11,1.0,4179.0,4413.0,8.0,0.0,0.0,0.0,0,1465,0.0,0.0,0,138
25/10-3,1.0,1750.0,1752.0,0.0,0.0,0.0,0.0,900,0,0.84,0.0,0,0
25/10-5,1.0,1756.0,1763.0,12.7,0.0,0.0,0.0,170,10000,0.9,0.64,59,0
25/10-5,2.0,1732.0,1740.0,25.4,0.0,0.0,0.0,515,30000,0.9,0.64,59,0
25/10-8,1.0,2392.0,2398.0,15.9,24.0,0.0,25.0,692,0,0.84,0.7,116,94
25/1-1,1.0,1920.0,1928.0,0.0,0.0,0.0,0.0,0,674000,0.0,0.0,0,0
25/11-14 SR,1.0,1998.2,2015.2,13.7,0.0,0.0,0.0,508,2000,0.915,0.67,36,75
25/11-14 SR,2.0,1999.2,2015.2,25.4,0.0,0.0,0.0,985,0,0.915,0.0,0,76
25/11-15,1.0,1736.0,1774.0,25.4,0.0,0.0,0.0,525,7500,0.94,0.64,14,76
25/11-18,1.0,815.0,865.0,0.0,0.0,0.0,0.0,0,1081,0.0,0.63,0,33
25/11-5,1.0,1750.0,1765.0,0.0,17.8,0.0,0.0,636,28371,0.91,0.0,44,0
25/11-6,1.0,1725.0,1740.0,13.9,17.6,0.0,0.0,485,1800000,0.9,0.6,210,0
25/11-8,1.0,1752.0,1767.0,15.1,0.0,0.0,0.0,418,0,0.9,0.0,46,52
25/1-3,1.0,1985.0,1987.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/1-3,2.0,1985.0,1987.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/1-3,3.0,1985.0,1987.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/1-3,4.0,1978.0,1980.0,0.0,0.0,0.0,0.0,21,0,0.0,0.0,0,0
25/1-3,5.0,1978.0,1980.0,0.0,0.0,0.0,0.0,70,0,0.0,0.0,0,0
25/1-3,6.0,1976.0,1980.0,0.0,0.0,0.0,0.0,84,110,0.0,0.0,0,0
25/1-4,1.0,1969.0,1995.0,19.0,0.0,0.0,0.0,5,610000,0.0,0.0,0,0
25/1-5,1.0,1930.0,1946.0,22.2,0.0,0.0,0.0,575,834000,0.0,0.0,0,0
25/1-5,2.0,1928.0,1937.0,29.3,0.0,0.0,0.0,675,967000,0.0,0.0,0,0
25/2-1,1.0,1926.0,1938.0,19.0,0.0,19.6,0.0,4,637975,0.0,0.84,157000,0
25/2-11,1.0,1958.0,1953.0,25.4,15.0,6.0,18.0,0,666000,0.0,0.6,0,61
25/2-12,1.0,3685.5,3690.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/2-12 A,1.0,3805.0,3795.0,5.6,0.0,37.0,0.0,102,200000,0.81,0.7,1960,120
25/2-13,1.0,3785.0,3773.6,4.7,10.0,10.0,0.0,0,0,0.0,0.0,0,124
25/2-13,2.0,3713.0,3706.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/2-13,2.3,3713.0,3695.0,6.3,8.5,0.0,0.0,69,29400,0.823,0.88,425,123
25/2-13,3.1,3460.0,3437.0,12.5,16.0,0.0,0.0,210,242000,0.8,0.8,1120,115
25/2-13,5.0,3382.0,3343.0,15.8,12.5,0.0,0.0,650,213600,0.829,0.818,330,112
25/2-15 R2,1.0,3909.0,3580.0,0.0,50.0,0.0,0.0,0,0,0.0,0.0,0,0
25/2-18 A,1.0,3741.5,3767.1,15.8,0.0,0.0,0.0,600,86413,0.0,0.0,144,0
25/2-18 A,2.0,3713.7,3724.9,12.7,0.0,0.0,0.0,349,51624,0.0,0.0,149,0
25/2-2,1.0,1983.0,1996.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/2-4,1.0,2902.0,2911.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/2-5,1.0,3692.0,3695.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/2-5,2.0,3652.0,3695.0,19.0,0.0,0.0,0.0,330,108000,0.0,0.0,327,0
25/2-5,3.0,3337.0,3362.0,12.5,0.0,0.0,0.0,470,95400,0.813,0.0,203,0
25/4-1,1.0,3300.0,3314.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/4-1,2.0,3208.0,3213.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/4-1,3.0,3179.0,3184.0,25.4,0.0,29.0,0.0,74,180000,0.0,0.797,2432,0
25/4-4,1.0,2134.0,2143.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/4-5,1.0,4154.0,4176.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/4-5,2.0,4065.0,4088.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/4-5,3.0,3969.0,3999.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/4-6 S,1.0,3802.0,3819.0,20.6,0.0,0.0,0.0,688,461700,0.81,0.72,671,126
25/5-1,1.0,3233.0,3254.0,12.7,0.0,0.0,0.0,0,0,0.0,0.0,0,0
25/5-1,2.0,3045.0,3025.0,12.7,0.0,8.0,0.0,396,71000,0.827,0.705,178,0
25/5-1,2.1,3045.0,3025.0,12.7,30.0,11.0,30.0,437,88000,0.837,0.705,201,0
25/5-1,3.0,3002.0,2987.0,12.7,0.0,10.0,0.0,339,74000,0.825,0.79,217,0
25/5-1,3.1,2987.0,3002.0,12.7,0.0,0.0,32.0,442,82000,0.825,0.815,186,0
25/5-2,2.0,3196.0,3201.0,9.5,0.0,0.0,0.0,200,35000,0.821,0.0,170,0
25/5-3,1.0,2405.0,2336.0,11.1,15.0,0.0,23.0,57,585000,0.8,0.75,5100,0
25/5-4,1.0,2933.0,2923.0,20.6,14.0,0.0,29.0,223,759600,0.76,0.72,3398,104
25/5-5,1.0,2169.5,2158.5,38.1,2.0,1.0,20.0,428,15578,0.88,0.7,36,0
25/6-1,1.0,2276.7,2279.7,7.9,9.6,0.0,0.0,298,0,0.725,0.0,130,0
25/7-2,1.0,4148.0,4273.0,15.9,9.0,0.0,0.0,228,255700,0.781,0.732,1121,129
25/7-3,1.0,2096.0,2107.0,25.4,2.0,0.0,17.0,739,29207,0.839,0.0,39,83
25/7-5,1.0,2043.0,2052.0,17.5,7.0,5.26,18.981,900,78000,0.87,0.671,88,67
25/8-1,1.0,1755.0,1762.0,25.4,0.0,0.0,0.0,429,9965,0.93,0.0,23,0
25/8-10 S,1.0,1727.0,1740.0,14.4,4.0,4.0,4.0,413,15,0.9,0.68,0,70
25/8-11,1.0,1893.0,1910.0,16.0,0.0,0.0,0.0,520,23000,0.0,0.0,44,78
25/8-5 S,1.0,2118.0,2149.0,50.0,0.0,29.0,0.0,1073,40774,0.85,0.0,38,82
25/8-8 S,1.0,2258.0,2267.0,50.0,3.6,0.0,0.0,1067,75900,0.85,0.73,71,0
29/3-1,1.0,3802.0,3822.0,7.9,0.0,0.0,36.0,2,0,0.878,0.69,0,130
29/3-1,2.0,3682.0,3725.0,12.7,54.0,30.0,50.0,440,534000,0.868,0.68,1212,124
29/3-1,2.1,3682.0,3699.0,12.7,54.0,21.0,37.0,236,438000,0.845,0.72,1858,129
29/3-1,3.0,3522.0,3530.0,12.7,48.0,1.0,34.0,0,0,0.0,0.0,0,119
29/6-1,1.0,4287.0,4301.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
29/6-1,2.0,4256.0,4260.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
29/6-1,3.0,4208.0,4218.0,3.2,0.0,0.0,0.0,220,300000,0.808,0.705,1363,0
29/9-1,1.0,4394.0,4405.0,12.7,0.0,0.0,0.0,0,10000,0.0,0.774,0,0
3/7-4,1.0,3473.0,3537.0,19.0,0.0,0.0,0.0,665,884450,0.804,0.72,1330,131
3/7-4,2.0,3440.0,3473.0,19.0,0.0,0.0,0.0,611,838292,0.796,0.72,1372,131
30/10-2,1.0,2023.0,2026.0,16.5,20.8,20.3,0.0,0,44995,0.0,0.585,0,0
30/10-5,1.0,3638.0,3644.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/10-6,1.0,5008.0,5045.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/10-6,1.1,5008.0,5045.0,3.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/10-6,2.0,4899.0,4965.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/10-6,2.1,4899.0,4965.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/10-6,2.2,4899.0,5250.0,0.0,0.0,0.0,0.0,0,0,0.0,0.58,0,0
30/10-6,3.0,4768.0,4803.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/10-6,4.0,4666.0,4714.0,3.1,0.0,0.0,0.0,0,90000,0.0,0.62,0,154
30/2-1,1.0,3785.0,3792.0,12.7,0.0,0.0,0.0,307,677000,0.804,0.695,2205,0
30/2-1,2.0,3761.0,3771.0,19.0,0.0,0.0,0.0,417,1030000,0.807,0.695,2470,0
30/2-1,3.0,3720.0,3728.0,19.0,0.0,0.0,0.0,396,1016000,0.814,0.692,2565,0
30/2-2,1.0,4071.0,4076.0,19.1,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/2-2,2.0,4011.0,4042.0,19.1,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/2-2,3.0,3935.0,3974.0,19.1,0.0,0.0,0.0,105,226000,0.808,0.734,2160,0
30/2-3,1.0,3895.0,3898.0,12.7,0.0,4.0,0.0,24,4300,0.81,0.72,1790,0
30/2-3,2.0,3874.0,3881.0,12.7,53.0,40.0,0.0,319,671000,0.8,0.7,2100,0
30/2-3,3.1,3794.0,3803.0,12.7,0.0,14.0,0.0,215,466800,0.797,0.69,2180,0
30/3-2,1.0,2916.0,2923.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/3-2,2.0,2870.0,2874.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/3-2,3.0,2832.0,2837.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/3-2 R,1.0,2916.0,2923.0,12.7,32.0,23.0,0.0,325,27000,0.831,0.714,86,0
30/3-2 R,2.0,2870.0,2874.0,12.7,31.0,23.0,0.0,369,32000,0.826,0.71,86,0
30/3-2 R,3.0,2832.0,2837.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/3-4,1.0,3079.0,3096.0,23.8,6.0,0.0,34.0,1023,104000,0.83,0.0,108,0
30/3-4,3.0,2903.0,2923.0,23.8,9.0,0.0,32.0,1640,126700,0.83,0.0,77,0
30/3-4,4.0,2866.0,2882.0,18.3,10.0,0.0,32.0,1230,101900,0.831,0.766,82,0
30/3-4,5.0,2850.0,2857.0,19.0,4.0,0.0,0.0,578,46200,0.835,0.77,80,0
30/3-4,6.0,2826.0,2833.0,25.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/4-2,1.0,3807.0,3813.0,15.0,0.0,0.0,0.0,6818,812000,0.802,0.64,199,0
30/5-2,1.0,3611.0,3624.0,12.5,7.0,0.0,24.0,135,63000,0.88,0.71,470,130
30/5-2,2.0,3566.0,3590.0,11.0,36.0,0.0,0.0,140,300000,0.83,0.69,2140,127
30/6-1,1.0,2320.0,2330.0,0.0,0.0,0.0,0.0,152,487000,0.73,0.657,3066,90
30/6-1,2.0,2301.0,2305.0,0.0,0.0,0.0,0.0,166,660000,0.765,0.663,4150,90
30/6-10 A,1.0,2600.0,2602.0,12.7,0.0,0.0,0.0,563,79000,0.85,0.685,140,0
30/6-10 A,2.0,2587.0,2590.0,15.8,0.0,0.0,0.0,181,546000,0.74,0.66,3017,0
30/6-10 A,3.0,2446.0,2555.0,15.8,0.0,0.0,0.0,170,552000,0.74,0.66,3246,0
30/6-10 A,4.0,2480.0,2487.0,25.4,0.0,0.0,0.0,254,799000,0.74,0.664,3143,0
30/6-11,1.0,3449.0,3455.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0
30/6-13,1.0,2640.0,2650.0,11.1,0.0,0.0,0.0,450,58000,0.852,0.68,128,0
30/6-13,2.0,2596.0,2601.0,11.1,0.0,0.0,0.0,423,44000,0.852,0.68,102,0
30/6-13,3.0,2573.0,2580.0,11.1,0.0,0.0,0.0,428,42000,0.847,0.68,99,0
30/6-14,1.0,2783.0,2787.0,50.8,0.0,0.0,0.0,13,0,0.845,0.0,0,0
30/6-14,1.1,2783.0,2788.0,50.8,0.0,0.0,0.0,20,0,0.835,0.0,0,0
30/6-15,1.0,3354.5,3351.5,7.9,32.0,30.0,32.0,43,0,0.85,0.0,0,0
30/6-15,2.0,3323.8,3330.4,17.5,31.0,31.0,0.0,1034,0,0.841,0.0,135,0
30/6-15,3.0,3250.5,3265.5,25.4,0.0,0.0,0.0,250,975500,0.76,0.68,3902,0
30/6-16,1.0,2920.0,2944.0,15.9,0.0,3.0,0.0,165,2475,0.88,0.747,15,0
30/6-16,1.1,2920.0,2944.0,14.3,0.0,3.0,0.0,175,26000,0.88,0.747,150,0
