Well,NPDID wellbore,Depth,Legend
31/2-5,210,1567.0,Thin section no. 516
31/2-5,210,1570.0,Thin section no. 517
31/2-5,210,1574.0,Thin section no. 518
31/2-5,210,1601.0,Thin section no. 519
31/2-5,210,1605.0,Thin section no. 520
31/2-5,210,1608.0,Thin section no. 521
31/2-5,210,1618.0,Thin section no. 522
31/2-5,210,1621.0,Thin section no. 523
31/2-5,210,1626.0,Thin section no. 524
31/2-M-42,3350,1554.5,Thin section no. 1982
31/3-3,447,1971.0,Thin section no. 525
31/3-3,447,1907.0,Thin section no. 526
31/3-3,447,1907.0,Thin section no. 527
31/3-3,447,1904.0,Thin section no. 528
31/3-3,447,1902.0,Thin section no. 529
31/3-3,447,1901.0,Thin section no. 530
31/3-3,447,1900.0,Thin section no. 531
31/3-3,447,1896.0,Thin section no. 532
31/3-3,447,1892.0,Thin section no. 533
31/3-3,447,1892.0,Thin section no. 534
31/3-3,447,1891.0,Thin section no. 535
31/3-3,447,1889.0,Thin section no. 536
31/3-3,447,1887.0,Thin section no. 537
31/3-3,447,1886.0,Thin section no. 538
31/3-3,447,1877.0,Thin section no. 539
31/3-3,447,1872.0,Thin section no. 540
31/3-3,447,1870.0,Thin section no. 541
31/3-3,447,1870.0,Thin section no. 542
31/3-3,447,1869.0,Thin section no. 543
31/3-3,447,1856.0,Thin section no. 544
31/3-3,447,1845.0,Thin section no. 545
31/3-3,447,1843.0,Thin section no. 546
31/3-3,447,1841.0,Thin section no. 547
31/4-5,403,2068.0,Thin section no. 548
31/4-5,403,2070.0,Thin section no. 549
31/4-5,403,2104.0,Thin section no. 550
31/4-5,403,2107.0,Thin section no. 551
31/4-5,403,2113.0,Thin section no. 552
31/4-5,403,2115.0,Thin section no. 553
31/4-5,403,2122.0,Thin section no. 554
31/4-5,403,2128.0,Thin section no. 555
31/4-5,403,2130.0,Thin section no. 556
31/4-5,403,2135.0,Thin section no. 557
31/4-5,403,2151.0,Thin section no. 558
31/4-5,403,2160.0,Thin section no. 559
31/4-5,403,2166.0,Thin section no. 560
31/4-5,403,2207.0,Thin section no. 561
31/4-5,403,2222.0,Thin section no. 562
31/6-5,105,1491.0,Thin section no. 563
31/6-5,105,1493.0,Thin section no. 564
31/6-5,105,1514.0,Thin section no. 565
31/6-5,105,1517.0,Thin section no. 566
31/6-5,105,1591.0,Thin section no. 567
31/6-5,105,1525.0,Thin section no. 568
31/6-5,105,1573.0,Thin section no. 569
31/6-5,105,1537.0,Thin section no. 570
31/6-5,105,1541.0,Thin section no. 571
31/6-5,105,1547.0,Thin section no. 572
31/6-5,105,1557.0,Thin section no. 573
31/6-5,105,1562.0,Thin section no. 574
31/6-5,105,1580.0,Thin section no. 575
31/6-5,105,1587.0,Thin section no. 576
31/6-5,105,1602.0,Thin section no. 577
31/6-5,105,1611.0,Thin section no. 578
31/6-5,105,1622.0,Thin section no. 579
31/6-5,105,1628.0,Thin section no. 580
31/6-5,105,1638.0,Thin section no. 581
31/6-5,105,1647.0,Thin section no. 582
31/6-5,105,1653.0,Thin section no. 583
31/6-5,105,1711.0,Thin section no. 585
31/6-6,127,1637.0,Thin section no. 586
31/6-6,127,1568.0,Thin section no. 587
31/6-6,127,1517.5,Thin section no. 588
31/6-6,127,1513.8,Thin section no. 589
31/6-6,127,1505.6,Thin section no. 590
33/9-12,1069,2565.0,Thin section no. 607
33/9-16,1801,2681.5,Thin section no. 2271
33/9-16,1801,2687.77,Thin section no. 2272
33/9-16,1801,2701.52,Thin section no. 2273
33/9-16,1801,2713.6,Thin section no. 2274
33/9-16,1801,2719.5,Thin section no. 2275
33/9-16,1801,2721.78,Thin section no. 2276
33/9-16,1801,2733.2,Thin section no. 2277
33/9-16,1801,2741.45,Thin section no. 2278
33/9-16,1801,2743.58,Thin section no. 2279
33/9-18,2454,2967.4,Thin section no. 2280
33/9-18,2454,2972.03,Thin section no. 2281
33/9-18,2454,2972.8,Thin section no. 2282
33/9-18,2454,2973.48,Thin section no. 2283
33/9-18,2454,3045.65,Thin section no. 2284
33/9-18,2454,3047.7,Thin section no. 2285
33/9-18,2454,3049.5,Thin section no. 2286
33/9-18,2454,3052.45,Thin section no. 2287
33/9-18,2454,3053.21,Thin section no. 2288
33/9-18,2454,3234.57,Thin section no. 2289
33/9-18,2454,3238.02,Thin section no. 2290
33/9-18 A,2455,3397.1,Thin section no. 2291
33/9-18 A,2455,3402.02,Thin section no. 2292
33/9-18 A,2455,3402.85,Thin section no. 2293
33/9-3,125,2465.53,Thin section no. 591
33/9-3,125,2579.22,Thin section no. 592
33/9-3,125,2561.39,Thin section no. 593
33/9-3,125,2608.02,Thin section no. 594
33/9-3,125,2599.03,Thin section no. 595
33/9-3,125,2539.29,Thin section no. 596
33/9-8,413,2694.0,Thin section no. 597
33/9-8,413,2699.0,Thin section no. 598
33/9-8,413,2702.0,Thin section no. 599
33/9-8,413,2760.0,Thin section no. 600
33/9-8,413,2690.0,Thin section no. 601
33/9-8,413,2696.0,Thin section no. 602
33/9-8,413,2700.0,Thin section no. 603
33/9-8,413,2704.0,Thin section no. 604
33/9-8,413,2710.0,Thin section no. 605
33/9-8,413,2746.0,Thin section no. 606
33/9-9,414,2748.45,Thin section no. 1996
33/9-9,414,2751.45,Thin section no. 1997
33/9-9,414,2756.3,Thin section no. 1998
33/9-9,414,2759.2,Thin section no. 1999
33/9-9,414,2764.55,Thin section no. 2000
33/9-9,414,2765.88,Thin section no. 2001
33/9-9,414,2782.55,Thin section no. 2002
33/9-9,414,2799.6,Thin section no. 2003
33/9-9,414,2809.3,Thin section no. 2004
33/9-9,414,2722.85,Thin section no. 2005
33/9-A-23,710,2554.2,Thin section no. 617
33/9-A-23,710,2549.7,Thin section no. 618
33/9-A-23,710,2593.2,Thin section no. 619
33/9-A-23,710,2616.37,Thin section no. 620
33/9-A-23,710,2622.5,Thin section no. 621
33/9-A-23,710,3022.0,Thin section no. 622
33/9-A-23,710,3019.0,Thin section no. 623
33/9-A-23,710,3013.0,Thin section no. 624
33/9-A-23,710,3005.0,Thin section no. 625
33/9-A-23,710,2986.0,Thin section no. 626
33/9-A-23,710,2633.0,Thin section no. 627
33/9-A-23,710,2593.0,Thin section no. 628
33/9-A-23,710,2589.0,Thin section no. 629
33/9-A-23,710,2547.0,Thin section no. 630
33/9-A-23,710,2502.0,Thin section no. 631
33/9-A-23,710,2506.0,Thin section no. 632
33/9-A-23,710,3467.0,Thin section no. 633
33/9-A-23,710,3431.0,Thin section no. 634
33/9-A-23,710,2508.0,Thin section no. 635
33/9-A-23,710,3020.0,Thin section no. 636
33/9-A-42,728,3352.0,Thin section no. 637
33/9-A-42,728,3325.0,Thin section no. 638
33/9-A-42,728,3382.0,Thin section no. 639
33/9-A-42,728,3421.0,Thin section no. 640
33/9-A-42,728,3382.0,Thin section no. 641
33/9-A-42,728,3466.85,Thin section no. 642
33/9-A-42,728,3441.55,Thin section no. 643
33/9-A-42,728,3431.05,Thin section no. 644
33/9-A-9,698,3156.7,Thin section no. 611
33/9-A-9,698,3162.7,Thin section no. 612
33/9-A-9,698,3164.6,Thin section no. 613
33/9-A-9,698,3177.5,Thin section no. 614
33/9-A-9,698,3180.0,Thin section no. 615
33/9-A-9,698,3182.7,Thin section no. 616
34/10-15,67,1936.0,Thin section no. 697
34/10-15,67,1923.0,Thin section no. 698
34/10-15,67,1903.0,Thin section no. 699
34/10-15,67,1895.0,Thin section no. 700
34/10-15,67,1889.0,Thin section no. 701
34/10-15,67,1870.0,Thin section no. 702
34/10-23,476,4285.55,Thin section no. 1208
34/10-23,476,4291.0,Thin section no. 1209
34/10-23,476,4295.94,Thin section no. 1210
34/10-23,476,4300.0,Thin section no. 1211
34/10-23,476,4306.8,Thin section no. 1212
34/10-23,476,4098.05,Thin section no. 1213
34/10-23,476,4104.05,Thin section no. 1214
34/10-23,476,4118.05,Thin section no. 1215
34/10-23,476,4137.22,Thin section no. 1216
34/10-23,476,4170.7,Thin section no. 1217
34/10-23,476,4187.67,Thin section no. 1218
34/10-23,476,4205.9,Thin section no. 1219
34/10-23,476,4239.64,Thin section no. 1220
34/10-23,476,4253.0,Thin section no. 1221
34/10-23,476,4261.12,Thin section no. 1222
34/10-23,476,4270.97,Thin section no. 1223
34/10-23,476,4281.56,Thin section no. 1224
34/10-23,476,4082.16,Thin section no. 1225
34/10-23,476,4089.4,Thin section no. 1226
34/10-23,476,4095.1,Thin section no. 1227
34/10-23,476,4186.55,Thin section no. 2201
34/10-23,476,4256.8,Thin section no. 2202
34/10-23,476,4275.0,Thin section no. 2203
34/10-4,427,1882.0,Thin section no. 651
34/10-4,427,1827.0,Thin section no. 652
34/10-4,427,1836.0,Thin section no. 653
34/10-4,427,1841.0,Thin section no. 654
34/10-4,427,1847.0,Thin section no. 655
34/10-4,427,1858.0,Thin section no. 656
34/10-4,427,1870.0,Thin section no. 657
34/10-4,427,1876.0,Thin section no. 658
34/10-4,427,1882.0,Thin section no. 659
34/10-4,427,1893.0,Thin section no. 660
34/10-4,427,1834.0,Thin section no. 661
34/10-4,427,1891.0,Thin section no. 662
34/10-42 S,3816,4246.65,Thin section no. 1228
34/10-42 S,3816,4237.75,Thin section no. 1229
34/10-42 S,3816,4232.75,Thin section no. 1230
34/10-42 S,3816,4225.78,Thin section no. 1231
34/10-42 S,3816,4223.0,Thin section no. 1232
34/10-42 S,3816,4221.77,Thin section no. 1233
34/10-42 S,3816,4219.42,Thin section no. 1234
34/10-5,428,1911.0,Thin section no. 663
34/10-5,428,1912.0,Thin section no. 664
34/10-5,428,1914.0,Thin section no. 665
34/10-5,428,1918.0,Thin section no. 666
34/10-5,428,1921.0,Thin section no. 667
34/10-5,428,1924.0,Thin section no. 668
34/10-5,428,1926.0,Thin section no. 669
34/10-5,428,1931.0,Thin section no. 670
34/10-5,428,1932.0,Thin section no. 671
34/10-5,428,1934.0,Thin section no. 672
34/10-5,428,1950.0,Thin section no. 673
34/10-5,428,1952.0,Thin section no. 674
34/10-5,428,1955.0,Thin section no. 675
34/10-5,428,1959.0,Thin section no. 676
34/10-7,222,1818.9,Thin section no. 677
34/10-7,222,1818.0,Thin section no. 678
34/10-7,222,1822.8,Thin section no. 679
34/10-7,222,1823.1,Thin section no. 680
34/10-7,222,1825.7,Thin section no. 681
34/10-7,222,1828.7,Thin section no. 682
34/10-7,222,1834.7,Thin section no. 683
34/10-7,222,1838.7,Thin section no. 684
34/10-7,222,1877.4,Thin section no. 685
34/10-7,222,1849.1,Thin section no. 686
34/10-7,222,1815.0,Thin section no. 687
34/10-7,222,1823.0,Thin section no. 688
34/10-7,222,1826.0,Thin section no. 689
34/10-7,222,1833.0,Thin section no. 690
34/10-7,222,1836.0,Thin section no. 691
34/10-7,222,1845.0,Thin section no. 692
34/10-7,222,1879.0,Thin section no. 693
34/10-8,230,1840.0,Thin section no. 694
34/10-8,230,1828.0,Thin section no. 695
34/10-8,230,1842.0,Thin section no. 696
34/11-1,2377,4099.64,Thin section no. 1189
34/11-1,2377,4117.77,Thin section no. 1190
34/11-1,2377,4129.75,Thin section no. 1191
34/11-1,2377,4158.1,Thin section no. 1192
34/11-1,2377,4161.56,Thin section no. 1193
34/11-1,2377,4162.8,Thin section no. 1194
34/11-1,2377,4169.5,Thin section no. 1195
34/11-1,2377,4170.75,Thin section no. 1196
34/11-1,2377,4172.05,Thin section no. 1197
34/11-1,2377,4175.0,Thin section no. 1198
34/11-1,2377,4182.8,Thin section no. 1199
34/11-1,2377,4197.8,Thin section no. 1200
34/11-1,2377,4205.8,Thin section no. 1201
34/11-1,2377,4212.79,Thin section no. 1202
34/11-1,2377,4054.3,Thin section no. 1203
34/11-1,2377,4056.9,Thin section no. 1204
34/11-1,2377,4058.7,Thin section no. 1205
34/11-1,2377,4074.49,Thin section no. 1206
34/11-1,2377,4081.72,Thin section no. 1207
34/11-2 S,2733,4222.95,Thin section no. 1168
34/11-2 S,2733,4237.14,Thin section no. 1169
34/11-2 S,2733,4242.73,Thin section no. 1170
34/11-2 S,2733,4248.56,Thin section no. 1171
34/11-2 S,2733,4251.75,Thin section no. 1172
34/11-2 S,2733,4255.47,Thin section no. 1173
34/11-2 S,2733,4257.7,Thin section no. 1174
34/11-2 S,2733,4263.1,Thin section no. 1175
34/11-2 S,2733,4281.95,Thin section no. 1176
34/11-2 S,2733,4083.05,Thin section no. 1177
34/11-2 S,2733,4086.8,Thin section no. 1178
34/11-2 S,2733,4094.72,Thin section no. 1179
34/11-2 S,2733,4099.0,Thin section no. 1181
34/11-2 S,2733,4099.68,Thin section no. 1182
34/11-2 S,2733,4104.7,Thin section no. 1183
34/11-2 S,2733,4109.55,Thin section no. 1184
34/11-2 S,2733,4119.9,Thin section no. 1185
34/11-2 S,2733,4127.88,Thin section no. 1186
34/11-2 S,2733,4139.4,Thin section no. 1187
34/11-2 S,2733,4134.23,Thin section no. 1188
34/11-3,2866,4095.55,Thin section no. 2194
34/11-3,2866,4110.8,Thin section no. 2195
34/11-3,2866,4147.0,Thin section no. 2196
34/11-3,2866,4163.3,Thin section no. 2197
34/11-3,2866,4171.4,Thin section no. 2198
34/11-4,3314,4153.0,Thin section no. 1114
34/11-4,3314,4164.5,Thin section no. 1115
34/11-4,3314,4168.45,Thin section no. 1116
34/11-4,3314,4183.69,Thin section no. 1117
34/11-4,3314,4189.1,Thin section no. 1118
34/11-4,3314,4195.0,Thin section no. 1119
34/11-4,3314,4196.0,Thin section no. 1120
34/11-4,3314,4197.0,Thin section no. 1121
34/11-4,3314,4198.0,Thin section no. 1122
34/11-4,3314,4199.0,Thin section no. 1123
34/11-4,3314,4200.0,Thin section no. 1124
34/11-4,3314,4151.8,Thin section no. 1127
34/2-4,467,3833.65,Thin section no. 2042
34/2-4,467,3837.25,Thin section no. 2043
34/2-4,467,3835.35,Thin section no. 2044
34/2-4,467,3834.25,Thin section no. 2045
34/3-1 S,5811,3920.08,Thin section no. 2006
34/3-1 S,5811,3919.18,Thin section no. 2007
34/3-1 S,5811,3912.68,Thin section no. 2008
34/3-1 S,5811,3901.7,Thin section no. 2009
34/3-1 S,5811,3901.4,Thin section no. 2010
34/3-1 S,5811,3889.35,Thin section no. 2011
34/3-1 S,5811,3881.7,Thin section no. 2012
34/3-1 S,5811,3875.68,Thin section no. 2013
34/3-1 S,5811,3869.67,Thin section no. 2014
34/3-1 S,5811,3930.11,Thin section no. 2015
34/4-13 S,6442,4915.6,Thin section no. 2091
34/4-13 S,6442,4900.95,Thin section no. 2092
34/4-13 S,6442,4845.24,Thin section no. 2093
34/4-13 S,6442,4841.5,Thin section no. 2094
34/4-13 S,6442,4811.88,Thin section no. 2095
34/4-13 S,6442,4808.25,Thin section no. 2096
34/4-13 S,6442,4804.67,Thin section no. 2097
34/4-13 S,6442,4801.83,Thin section no. 2098
34/4-3,423,4358.8,Thin section no. 2054
34/4-3,423,4359.6,Thin section no. 2055
34/4-3,423,4365.3,Thin section no. 2056
34/4-3,423,4364.06,Thin section no. 2067
34/4-3,423,4358.07,Thin section no. 2068
34/4-5,37,3601.25,Thin section no. 2069
34/4-5,37,3595.75,Thin section no. 2070
34/4-5,37,3584.5,Thin section no. 2071
34/4-5,37,3579.0,Thin section no. 2072
34/4-5,37,3572.75,Thin section no. 2073
34/4-5,37,3568.0,Thin section no. 2074
34/4-5,37,3508.95,Thin section no. 2075
34/4-5,37,3487.6,Thin section no. 2076
34/4-5,37,3483.38,Thin section no. 2077
34/4-5,37,3480.75,Thin section no. 2078
34/4-5,37,3476.5,Thin section no. 2079
34/4-5,37,3474.2,Thin section no. 2080
34/4-5,37,3564.25,Thin section no. 2234
34/4-5,37,3572.5,Thin section no. 2235
34/4-5,37,3575.5,Thin section no. 2236
34/4-5,37,3579.25,Thin section no. 2237
34/4-5,37,3586.0,Thin section no. 2238
34/4-5,37,3591.0,Thin section no. 2239
34/4-5,37,3595.25,Thin section no. 2240
34/4-5,37,3599.25,Thin section no. 2241
34/7-1,111,2615.5,Thin section no. 645
34/7-1,111,2612.2,Thin section no. 646
34/7-1,111,2602.7,Thin section no. 647
34/7-1,111,2676.5,Thin section no. 648
34/7-1,111,2757.3,Thin section no. 649
34/7-2,233,4512.8,Thin section no. 2315
34/7-2,233,4514.7,Thin section no. 2316
34/7-2,233,4516.35,Thin section no. 2317
34/7-2,233,4518.9,Thin section no. 2318
34/7-21,2026,1868.7,Thin section no. 2294
34/7-21,2026,1875.65,Thin section no. 2295
34/7-21,2026,2531.6,Thin section no. 2296
34/7-21,2026,2537.35,Thin section no. 2297
34/7-21,2026,2566.2,Thin section no. 2298
34/7-21,2026,2566.8,Thin section no. 2299
34/7-21,2026,2567.7,Thin section no. 2300
34/7-21,2026,2568.5,Thin section no. 2301
34/7-21,2026,2570.45,Thin section no. 2302
34/7-21,2026,2571.4,Thin section no. 2303
34/7-21,2026,2576.45,Thin section no. 2304
34/7-21 A,2068,2704.12,Thin section no. 2257
34/7-21 A,2068,2876.6,Thin section no. 2258
34/7-21 A,2068,2879.27,Thin section no. 2259
34/7-21 A,2068,2881.3,Thin section no. 2260
34/7-21 A,2068,2884.4,Thin section no. 2261
34/7-21 A,2068,2890.9,Thin section no. 2262
34/7-21 A,2068,2893.85,Thin section no. 2263
34/7-21 A,2068,2899.64,Thin section no. 2264
34/7-21 A,2068,2903.73,Thin section no. 2265
34/7-21 A,2068,2906.7,Thin section no. 2266
34/7-23 A,2326,3203.2,Thin section no. 2267
34/7-23 A,2326,3203.6,Thin section no. 2268
34/7-23 A,2326,3221.5,Thin section no. 2269
34/7-23 A,2326,3220.25,Thin section no. 2270
34/7-26 A,3329,4154.4,Thin section no. 2305
34/7-26 A,3329,4159.9,Thin section no. 2306
34/7-26 A,3329,4167.28,Thin section no. 2307
34/7-26 A,3329,4173.5,Thin section no. 2308
34/7-26 A,3329,4179.8,Thin section no. 2309
34/7-26 A,3329,4188.94,Thin section no. 2310
34/7-26 A,3329,4207.2,Thin section no. 2311
34/7-26 A,3329,4207.87,Thin section no. 2312
34/7-26 A,3329,4219.58,Thin section no. 2313
34/7-26 A,3329,4148.7,Thin section no. 2314
34/7-6,465,2605.75,Thin section no. 2081
34/7-6,465,2587.25,Thin section no. 2082
34/7-6,465,2572.5,Thin section no. 2083
34/7-6,465,2564.25,Thin section no. 2084
34/7-6,465,2561.0,Thin section no. 2085
34/7-6,465,2555.0,Thin section no. 2086
34/7-6,465,2541.0,Thin section no. 2087
34/7-6,465,2537.75,Thin section no. 2088
34/7-6,465,2524.5,Thin section no. 2089
34/7-6,465,2521.25,Thin section no. 2090
34/7-8,878,2297.0,Thin section no. 650
34/8-1,854,2855.55,Thin section no. 1130
34/8-1,854,4292.92,Thin section no. 1131
34/8-1,854,4273.76,Thin section no. 1132
34/8-1,854,2879.35,Thin section no. 1133
34/8-1,854,3519.45,Thin section no. 1134
34/8-1,854,3514.55,Thin section no. 1135
34/8-1,854,3512.3,Thin section no. 1136
34/8-1,854,3308.17,Thin section no. 1137
34/8-1,854,3298.3,Thin section no. 1138
34/8-1,854,3057.7,Thin section no. 1139
34/8-1,854,3047.68,Thin section no. 1140
34/8-1,854,2954.7,Thin section no. 1141
34/8-1,854,2943.16,Thin section no. 1142
34/8-1,854,2925.65,Thin section no. 1143
34/8-1,854,2911.6,Thin section no. 1144
34/8-1,854,2900.5,Thin section no. 1145
34/8-1,854,2889.3,Thin section no. 1146
34/8-1,854,2851.57,Thin section no. 1147
34/8-1,854,2847.73,Thin section no. 1148
34/8-1,854,2825.3,Thin section no. 1149
34/8-1,854,2814.7,Thin section no. 1150
34/8-1,854,2799.48,Thin section no. 1151
34/8-1,854,2789.2,Thin section no. 1152
34/8-1,854,2768.0,Thin section no. 1153
34/8-7,1941,4471.13,Thin section no. 1155
34/8-7,1941,4479.5,Thin section no. 1156
34/8-7,1941,4483.73,Thin section no. 1157
34/8-7,1941,4486.46,Thin section no. 1158
34/8-7,1941,4489.06,Thin section no. 1159
34/8-7,1941,4489.36,Thin section no. 1160
34/8-7,1941,4648.4,Thin section no. 1161
34/8-7,1941,4653.27,Thin section no. 1162
34/8-7,1941,4655.9,Thin section no. 1163
34/8-7,1941,5130.96,Thin section no. 1164
34/8-7,1941,5422.54,Thin section no. 1165
34/8-7,1941,5423.86,Thin section no. 1166
34/8-7,1941,5427.53,Thin section no. 1167
34/8-7,1941,5129.6,Thin section no. 2046
34/8-7,1941,5118.2,Thin section no. 2047
34/8-7,1941,4825.3,Thin section no. 2048
34/8-7,1941,4817.2,Thin section no. 2049
35/10-1,1822,1550.0,Thin section no. 2057
35/10-1,1822,1340.0,Thin section no. 2058
35/10-1,1822,1430.0,Thin section no. 2059
35/10-1,1822,1310.0,Thin section no. 2060
35/10-1,1822,1280.0,Thin section no. 2061
35/10-1,1822,1370.0,Thin section no. 2062
35/10-1,1822,1400.0,Thin section no. 2063
35/10-1,1822,1460.0,Thin section no. 2064
35/10-1,1822,1250.0,Thin section no. 2065
35/10-1,1822,1050.0,Thin section no. 2066
35/10-2,2783,4235.7,Thin section no. 1235
35/10-2,2783,4227.5,Thin section no. 1236
35/10-2,2783,4225.25,Thin section no. 1237
35/10-2,2783,4220.76,Thin section no. 1238
35/10-2,2783,4216.35,Thin section no. 1239
35/10-2,2783,4207.85,Thin section no. 1240
35/10-2,2783,4179.87,Thin section no. 1241
35/10-2,2783,4164.74,Thin section no. 1242
35/10-2,2783,4157.8,Thin section no. 1243
35/10-2,2783,4156.2,Thin section no. 1244
35/11-12,4054,3123.17,Thin section no. 1547
35/11-13,5063,3133.0,Thin section no. 1543
35/11-13,5063,3123.76,Thin section no. 1544
35/11-13,5063,3111.43,Thin section no. 1545
35/11-13,5063,3103.5,Thin section no. 1546
35/11-2,893,3043.36,Thin section no. 1548
35/11-6,1879,3175.03,Thin section no. 1549
35/11-6,1879,3163.48,Thin section no. 1550
35/11-6,1879,3184.49,Thin section no. 1551
35/12-1,1881,2602.65,Thin section no. 1539
35/12-1,1881,2598.13,Thin section no. 1540
35/12-1,1881,2439.47,Thin section no. 1541
35/3-2,136,3593.75,Thin section no. 1653
35/3-2,136,3594.55,Thin section no. 1654
35/3-2,136,3595.7,Thin section no. 1655
35/3-2,136,3596.65,Thin section no. 1656
35/3-2,136,3597.65,Thin section no. 1657
35/3-2,136,3598.6,Thin section no. 1658
35/3-2,136,3599.6,Thin section no. 1659
35/3-2,136,3600.85,Thin section no. 1660
35/3-2,136,3601.8,Thin section no. 1661
35/3-2,136,3602.8,Thin section no. 1662
35/3-2,136,3603.9,Thin section no. 1663
35/3-2,136,3604.65,Thin section no. 1664
35/3-2,136,3605.75,Thin section no. 1665
35/3-2,136,3606.75,Thin section no. 1666
35/3-2,136,3607.9,Thin section no. 1667
35/3-2,136,3608.9,Thin section no. 1668
35/3-2,136,3609.9,Thin section no. 1669
35/3-2,136,3611.4,Thin section no. 1670
35/3-2,136,3612.45,Thin section no. 1671
35/3-2,136,3613.6,Thin section no. 1672
35/3-2,136,3614.68,Thin section no. 1673
35/3-2,136,3615.2,Thin section no. 1674
35/3-2,136,3616.1,Thin section no. 1675
35/3-2,136,3625.0,Thin section no. 1676
35/3-2,136,3625.98,Thin section no. 1677
35/3-2,136,3628.1,Thin section no. 1678
35/3-2,136,3629.2,Thin section no. 1679
35/3-2,136,3629.45,Thin section no. 1680
35/3-2,136,3629.5,Thin section no. 1681
35/3-2,136,3632.82,Thin section no. 1682
35/3-2,136,3637.25,Thin section no. 1683
35/3-2,136,3692.25,Thin section no. 1684
35/3-2,136,3692.3,Thin section no. 1685
35/3-2,136,3693.5,Thin section no. 1686
35/3-2,136,3695.0,Thin section no. 1687
35/3-2,136,3696.0,Thin section no. 1688
35/3-2,136,3697.7,Thin section no. 1689
35/3-2,136,3697.75,Thin section no. 1690
35/3-2,136,3698.0,Thin section no. 1691
35/3-2,136,3698.75,Thin section no. 1692
35/3-2,136,3699.3,Thin section no. 1693
35/3-2,136,3700.75,Thin section no. 1694
35/3-2,136,3702.85,Thin section no. 1695
35/3-2,136,3703.85,Thin section no. 1696
35/3-2,136,3704.95,Thin section no. 1697
35/3-2,136,3705.95,Thin section no. 1698
35/3-2,136,3706.95,Thin section no. 1699
35/3-2,136,3747.7,Thin section no. 1700
35/3-2,136,3748.9,Thin section no. 1701
35/3-2,136,3950.93,Thin section no. 1702
35/3-2,136,3952.02,Thin section no. 1703
35/3-2,136,3953.15,Thin section no. 1704
35/3-2,136,3954.3,Thin section no. 1705
35/3-2,136,3955.8,Thin section no. 1706
35/3-2,136,3956.85,Thin section no. 1707
35/3-2,136,3957.9,Thin section no. 1708
35/3-2,136,3958.9,Thin section no. 1709
35/3-2,136,3960.2,Thin section no. 1710
35/3-2,136,3999.35,Thin section no. 1711
35/3-2,136,4001.0,Thin section no. 1712
35/3-2,136,4002.15,Thin section no. 1713
35/3-2,136,4003.15,Thin section no. 1714
35/3-2,136,4004.37,Thin section no. 1715
35/3-2,136,4005.3,Thin section no. 1716
35/3-2,136,4006.95,Thin section no. 1717
35/3-2,136,4007.9,Thin section no. 1718
35/3-2,136,4008.6,Thin section no. 1719
